	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_4523	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium_sp.
ASV_4524	Bacteria	DST	Synergistetes	Synergistetes_X	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium_sp.
ASV_4525	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
ASV_4526	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	AllorhizobiumNeorhizobiumPararhizobiumRhizobium	AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.
ASV_4527	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	KI89A_clade	KI89A_clade_X	KI89A_clade_XX	KI89A_clade_XX_sp.
ASV_4528	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia_sp.
ASV_4529	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4530	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_X	Chitinophagaceae_X_sp.
ASV_4531	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_4532	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4533	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_4534	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_X	Rikenellaceae_X_sp.
ASV_4535	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_sp.
ASV_4536	Bacteria	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4537	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	OM27_clade_sp.
ASV_4538	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	NA	NA	NA	NA
ASV_4539	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Pleurocapsales	Pleurocapsales_X	Xenococcus	Xenococcus_sp.
ASV_4540	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	Coxiella_sp.
ASV_4541	Eukaryota:mito	Archaeplastida:mito	Streptophyta:mito	Streptophyta_X:mito	Embryophyceae:mito	Embryophyceae_X:mito	Embryophyceae_XX:mito	NA	NA
ASV_4542	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	Fulvivirga_sp.
ASV_4543	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD17_clade	BD17_clade_sp.
ASV_4544	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	NB1j	NB1j_X	NB1j_XX	NB1j_XX_sp.
ASV_4545	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicellaceae_X	Arenicellaceae_X_sp.
ASV_4546	Bacteria	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4547	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	PB19	PB19_X	PB19_XX	PB19_XX_sp.
